# tag, sector, industry, tag_id
VOD.L, Communication Services, Telecom Services, 1
ETH, Consumer Cyclical, Furnishings, Fixtures & Appliances, 3370
ETN, Industrials, Specialty Industrial Machinery, 3372
ETNB, Healthcare, Biotechnology, 3373
ETON, Healthcare, Biotechnology, 3374
ETR, Utilities, Utilities - Regulated Electric, 3375
ETRN, Energy, Oil & Gas Midstream, 3376
ETSY, Consumer Cyclical, Internet Retail, 3377
ETTX, Healthcare, Biotechnology, 3379
ETWO, Technology, Software - Infrastructure, 3380
EUCR, Financial Services, Shell Companies, 3382
EURN, Energy, Oil & Gas Midstream, 3395
EURN, Energy, Oil & Gas Midstream, 3396
EUSG, Financial Services, Shell Companies, 3397
EUSP, Utilities, Utilities - Regulated Electric, 3398
EVA, Basic Materials, Lumber & Wood Production, 3401
EVAX, Healthcare, Biotechnology, 3403
EVBG, Technology, Software - Application, 3404
EVBN, Financial Services, Banks - Regional, 3405
EVC, Communication Services, Broadcasting, 3406
EVER, Communication Services, Internet Content & Information, 3410
EVFM, Healthcare, Biotechnology, 3411
EVGN, Healthcare, Biotechnology, 3413
EVH, Healthcare, Health Information Services, 3414
EVI, Industrials, Industrial Distribution, 3415
EVK.DE, Consumer Cyclical, Apparel Manufacturing, 3416
EVK, Consumer Cyclical, Apparel Manufacturing, 3417
EVLO, Healthcare, Biotechnology, 3418
EVNVY, Utilities, Utilities - Diversified, 3420
EVOA, Consumer Cyclical, Specialty Retail, 3421
EVOJ, Financial Services, Shell Companies, 3422
EVOK, Healthcare, Drug Manufacturers - Specialty & Generic, 3423
EVOL, Technology, Software - Application, 3424
EVOP, Technology, Software - Infrastructure, 3425
EVR, Financial Services, Capital Markets, 3426
EVR.L, Financial Services, Capital Markets, 3427
EVRG, Utilities, Utilities - Regulated Electric, 3429
EVRI, Consumer Cyclical, Gambling, 3430
EVSBY, Technology, Communication Equipment, 3431
EVTC, Technology, Software - Infrastructure, 3433
EVTCY, Healthcare, Drug Manufacturers - Specialty & Generic, 3434
EVVTY, Consumer Cyclical, Gambling, 3435
EW, Healthcare, Medical Devices, 3436
EWBC, Financial Services, Banks - Diversified, 3437
EWTX, Healthcare, Biotechnology, 3439
EXAS, Healthcare, Diagnostics & Research, 3441
EXC, Utilities, Utilities - Diversified, 3442
EXEL, Healthcare, Biotechnology, 3443
EXLS, Technology, Information Technology Services, 3445
EXP, Basic Materials, Building Materials, 3446
EXPD, Industrials, Integrated Freight & Logistics, 3447
EXPE, Consumer Cyclical, Travel Services, 3448
EXPFF, Healthcare, Drug Manufacturers - Specialty & Generic, 3449
EXPGY, Industrials, Consulting Services, 3450
EXPI, Real Estate, Real Estate Services, 3451
EXPO, Industrials, Consulting Services, 3453
EXPR, Consumer Cyclical, Apparel Retail, 3454
EXR, Real Estate, REIT - Industrial, 3455
EXSR, Financial Services, Banks - Regional, 3461
EXTN, Energy, Oil & Gas Equipment & Services, 3462
EXTR, Technology, Communication Equipment, 3463
EYE, Consumer Cyclical, Specialty Retail, 3471
EYE.L, Consumer Cyclical, Specialty Retail, 3472
EYEG, Healthcare, Biotechnology, 3473
EYEN, Healthcare, Biotechnology, 3474
EYES, Healthcare, Medical Devices, 3475
EYPT, Healthcare, Biotechnology, 3476
EZGO, Consumer Cyclical, Recreational Vehicles, 3478
EZPW, Financial Services, Credit Services, 3480
F, Consumer Cyclical, Auto Manufacturers, 3481
FABP, Financial Services, Banks - Regional, 3484
FACA, Financial Services, Shell Companies, 3485
FACO, Financial Services, Insurance - Specialty, 3488
FACT, Financial Services, Shell Companies, 3489
FAF, Financial Services, Insurance - Specialty, 3490
FAII, Financial Services, Shell Companies, 3493
FALC, Technology, Software - Application, 3495
FAME, Basic Materials, Specialty Chemicals, 3496
FAMI, Consumer Defensive, Packaged Foods, 3497
FANG, Energy, Oil & Gas E&P, 3500
FANG.L, Energy, Oil & Gas E&P, 3501
FANH, Financial Services, Insurance Brokers, 3502
FANUY, Industrials, Specialty Industrial Machinery, 3504
FARM, Consumer Defensive, Packaged Foods, 3506
FARO, Technology, Scientific & Technical Instruments, 3508
FAST, Industrials, Industrial Distribution, 3511
FAST.AS, Industrials, Industrial Distribution, 3512
FAT, Consumer Cyclical, Restaurants, 3513
FATE, Healthcare, Biotechnology, 3514
FB, Communication Services, Internet Content & Information, 3515
FBAK, Financial Services, Banks - Regional, 3520
FBC, Financial Services, Banks - Regional, 3521
FBHS, Consumer Cyclical, Furnishings, Fixtures & Appliances, 3522
FBIO, Healthcare, Biotechnology, 3523
FBIZ, Financial Services, Banks - Regional, 3524
FBK, Financial Services, Banks - Regional, 3525
FBMS, Financial Services, Banks - Regional, 3526
FBNC, Financial Services, Banks - Regional, 3527
FBP, Financial Services, Banks - Regional, 3528
FBPA, Financial Services, Banks - Regional, 3529
FBPI, Financial Services, Banks - Regional, 3530
FBRX, Healthcare, Biotechnology, 3532
FBSI, Financial Services, Banks - Regional, 3534
FBTT, Financial Services, Banks - Regional, 3536
FBVA, Financial Services, Banks - Regional, 3538
FC, Industrials, Consulting Services, 3539
FCAC, Financial Services, Shell Companies, 3540
FCAP, Financial Services, Banks - Regional, 3541
FCAP.L, Financial Services, Banks - Regional, 3542
FCAX, Financial Services, Shell Companies, 3543
FCBC, Financial Services, Banks - Regional, 3544
FCBP, Financial Services, Banks - Regional, 3545
FCCN.L, Technology, Information Technology Services, 3547
FCCO, Financial Services, Banks - Regional, 3548
FCCT, Financial Services, Banks - Regional, 3549
FCCY, Financial Services, Banks - Regional, 3550
FCEL, Industrials, Electrical Equipment & Parts, 3551
FCF, Financial Services, Banks - Regional, 3552
FCFS, Financial Services, Credit Services, 3553
FCIT.L, Financial Services, Banks - Regional, 3555
FCN, Industrials, Consulting Services, 3556
FCNCA, Financial Services, Banks - Regional, 3557
FCNCB, Financial Services, Banks - Regional, 3558
FCOB, Financial Services, Banks - Regional, 3559
FCPT, Real Estate, REIT - Hotel & Motel, 3560
FCRD, Financial Services, Asset Management, 3561
FCRM.L, Financial Services, Mortgage Finance, 3562
FCUUF, Energy, Uranium, 3567
FCUV, Technology, Scientific & Technical Instruments, 3568
FCX, Basic Materials, Copper, 3569
FDBC, Financial Services, Banks - Regional, 3570
FDMT, Healthcare, Biotechnology, 3575
FDP.L, Consumer Defensive, Farm Products, 3578
FDP, Consumer Defensive, Farm Products, 3579
FDS, Financial Services, Financial Data & Stock Exchanges, 3581
FDUS, Financial Services, Asset Management, 3582
FDVA, Financial Services, Banks - Regional, 3583
FDX, Industrials, Integrated Freight & Logistics, 3584
FE, Utilities, Utilities - Regulated Electric, 3585
FEDU, Consumer Defensive, Education & Training Services, 3586
FEIM, Technology, Communication Equipment, 3588
FELE, Industrials, Specialty Industrial Machinery, 3589
FELTY, Industrials, Electrical Equipment & Parts, 3590
FENG, Communication Services, Internet Content & Information, 3594
FERG, Industrials, Industrial Distribution, 3597
FERG.L, Industrials, Industrial Distribution, 3598
FET, Energy, Oil & Gas Equipment & Services, 3600
FETM, Financial Services, Banks - Regional, 3601
FEYE, Technology, Software - Infrastructure, 3607
FF, Basic Materials, Chemicals, 3608
FFBC, Financial Services, Banks - Regional, 3610
FFBW, Financial Services, Banks - Regional, 3611
FFDF, Financial Services, Banks - Regional, 3612
FFG, Financial Services, Insurance - Life, 3613
FFHL, Consumer Cyclical, Packaging & Containers, 3614
FFIC, Financial Services, Banks - Regional, 3615
FFIN, Financial Services, Banks - Regional, 3616
FFIV, Technology, Software - Infrastructure, 3617
FFMH, Financial Services, Banks - Regional, 3618
FFNTF, Healthcare, Drug Manufacturers - Specialty & Generic, 3619
FFNW, Financial Services, Banks - Regional, 3620
FFWC, Financial Services, Banks - Regional, 3621
FFWM, Financial Services, Banks - Regional, 3622
FGBI, Financial Services, Banks - Regional, 3623
FGEN, Healthcare, Biotechnology, 3624
FGF, Financial Services, Insurance - Diversified, 3625
FGFH, Financial Services, Banks - Regional, 3626
FGNA, Financial Services, Shell Companies, 3628
FHB, Financial Services, Banks - Regional, 3633
FHI, Financial Services, Asset Management, 3634
FHLB, Financial Services, Banks - Regional, 3635
FHN, Financial Services, Banks - Regional, 3637
FHS, Consumer Defensive, Education & Training Services, 3639
FHTX, Healthcare, Biotechnology, 3640
FI, Energy, Oil & Gas Equipment & Services, 3642
FIBK, Financial Services, Banks - Regional, 3643
FICO, Technology, Software - Application, 3644
FIDS, Financial Services, Banks - Regional, 3645
FIII, Financial Services, Shell Companies, 3648
FIND.L, Basic Materials, Chemicals, 3650
FINM, Financial Services, Shell Companies, 3651
FINMY, Industrials, Aerospace & Defense, 3652
FINN, Financial Services, Banks - Regional, 3653
FINV, Financial Services, Credit Services, 3654
FIS, Technology, Information Technology Services, 3656
FISB, Financial Services, Banks - Regional, 3657
FISI, Financial Services, Banks - Regional, 3658
FISV, Technology, Information Technology Services, 3659
FITB, Financial Services, Banks - Regional, 3660
FIVE, Consumer Cyclical, Specialty Retail, 3661
FIVE, Consumer Cyclical, Specialty Retail, 3662
FIVN, Technology, Software - Infrastructure, 3663
FIX, Industrials, Engineering & Construction, 3664
FIXX, Healthcare, Biotechnology, 3665
FIZN, Financial Services, Banks - Regional, 3666
FIZZ, Consumer Defensive, Beverages - Non-Alcoholic, 3667
FJTCY, Industrials, Specialty Industrial Machinery, 3668
FJTNY, Communication Services, Broadcasting, 3669
FJTSY, Technology, Information Technology Services, 3670
FKWL, Technology, Communication Equipment, 3673
FKYS, Financial Services, Banks - Regional, 3674
FL, Consumer Cyclical, Footwear & Accessories, 3675
FLAC, Financial Services, Shell Companies, 3676
FLDM, Healthcare, Diagnostics & Research, 3677
FLEX, Technology, Electronic Components, 3678
FLFG, Financial Services, Insurance - Life, 3679
FLGC, Healthcare, Drug Manufacturers - Specialty & Generic, 3680
FLGT, Healthcare, Diagnostics & Research, 3681
FLGZY, Industrials, Airports & Air Services, 3682
FLIC, Financial Services, Banks - Regional, 3683
FLIDY, Industrials, Specialty Industrial Machinery, 3684
FLL, Consumer Cyclical, Resorts & Casinos, 3687
FLME, Financial Services, Shell Companies, 3688
FLMN, Energy, Oil & Gas E&P, 3689
FLNT, Communication Services, Advertising Agencies, 3690
FLO.L, Consumer Defensive, Packaged Foods, 3691
FLO, Consumer Defensive, Packaged Foods, 3692
FLOW, Industrials, Specialty Industrial Machinery, 3696
FLOW.AS, Industrials, Specialty Industrial Machinery, 3697
FLR, Industrials, Engineering & Construction, 3698
FLS, Industrials, Specialty Industrial Machinery, 3699
FLT, Technology, Information Technology Services, 3700
FLUX, Industrials, Electrical Equipment & Parts, 3704
FLWS, Consumer Cyclical, Specialty Retail, 3706
FLXN, Healthcare, Drug Manufacturers - Specialty & Generic, 3711
FLXS, Consumer Cyclical, Furnishings, Fixtures & Appliances, 3712
FLY.PA, Industrials, Aerospace & Defense, 3713
FLY, Industrials, Aerospace & Defense, 3714
FMAC, Financial Services, Shell Companies, 3715
FMAO, Financial Services, Banks - Regional, 3716
FMBH, Financial Services, Banks - Regional, 3717
FMBI, Financial Services, Banks - Regional, 3718
FMBL, Financial Services, Banks - Regional, 3719
FMBM, Financial Services, Banks - Regional, 3720
FMBN, Financial Services, Banks - Regional, 3721
FMC, Basic Materials, Agricultural Inputs, 3722
FMCB, Financial Services, Banks - Regional, 3723
FMCC, Financial Services, Mortgage Finance, 3724
FMFG, Financial Services, Banks - Regional, 3726
FMFP, Financial Services, Banks - Regional, 3727
FMIV, Financial Services, Shell Companies, 3728
FMNB, Financial Services, Banks - Regional, 3729
FMOCY, Industrials, Waste Management, 3730
FMS, Healthcare, Medical Care Facilities, 3731
FMTX, Healthcare, Biotechnology, 3732
FMX, Consumer Defensive, Beverages - Brewers, 3733
FN, Technology, Electronic Components, 3734
FNB, Financial Services, Banks - Regional, 3735
FNBT, Financial Services, Banks - Regional, 3736
FNCB, Financial Services, Banks - Regional, 3737
FNCH, Healthcare, Biotechnology, 3738
FND, Consumer Cyclical, Home Improvement Retail, 3739
FNF, Financial Services, Insurance - Specialty, 3740
FNFI, Financial Services, Banks - Regional, 3741
FNGR, Communication Services, Telecom Services, 3742
FNHC, Financial Services, Insurance - Property & Casualty, 3743
FNKO, Consumer Cyclical, Leisure, 3744
FNLC, Financial Services, Banks - Regional, 3745
FNMA, Financial Services, Mortgage Finance, 3746
FNRN, Financial Services, Banks - Regional, 3747
FNV, Basic Materials, Gold, 3750
FNWB, Financial Services, Banks - Regional, 3751
FOA, Financial Services, Credit Services, 3753
FOCS, Financial Services, Capital Markets, 3754
FOE, Basic Materials, Specialty Chemicals, 3755
FOJCY, Utilities, Utilities - Renewable, 3756
FOLD, Healthcare, Biotechnology, 3757
FONR, Healthcare, Medical Devices, 3758
FOR, Real Estate, Real Estate - Development, 3760
FORA, Healthcare, Health Information Services, 3761
FORD, Consumer Cyclical, Footwear & Accessories, 3762
FORE, Financial Services, Shell Companies, 3763
FORM, Technology, Semiconductors, 3765
FORR, Industrials, Consulting Services, 3767
FORTY, Technology, Information Technology Services, 3769
FOSL, Consumer Cyclical, Luxury Goods, 3770
FOTB, Financial Services, Banks - Regional, 3771
FOUR.L, Technology, Software - Infrastructure, 3772
FOUR, Technology, Software - Infrastructure, 3773
FOVSY, Consumer Cyclical, Auto Manufacturers, 3774
FOX, Communication Services, Broadcasting, 3775
FOX.L, Communication Services, Broadcasting, 3776
FOXA, Communication Services, Broadcasting, 3777
FOXF, Consumer Cyclical, Recreational Vehicles, 3778
FOXW, Financial Services, Shell Companies, 3780
FPAC, Financial Services, Shell Companies, 3782
FPAY, Industrials, Rental & Leasing Services, 3783
FPH, Real Estate, Real Estate - Development, 3786
FPRUY, Industrials, Airports & Air Services, 3789
FR.PA, Real Estate, REIT - Industrial, 3791
FRAF, Financial Services, Banks - Regional, 3793
FRANQ, Consumer Cyclical, Apparel Retail, 3795
FRBA, Financial Services, Banks - Regional, 3797
FRBK, Financial Services, Banks - Regional, 3798
FRC, Financial Services, Banks - Regional, 3799
FRCOY, Consumer Cyclical, Apparel Retail, 3800
FRD, Basic Materials, Steel, 3801
FREE, Consumer Defensive, Packaged Foods, 3803
FREQ, Healthcare, Biotechnology, 3804
FRFC, Financial Services, Banks - Regional, 3806
FRG, Consumer Cyclical, Personal Services, 3807
FRGI, Consumer Cyclical, Restaurants, 3808
FRHC, Financial Services, Capital Markets, 3809
FRLN, Healthcare, Biotechnology, 3811
FRME, Financial Services, Banks - Regional, 3812
FRMO, Financial Services, Asset Management, 3813
FRO, Energy, Oil & Gas Midstream, 3814
FROG, Technology, Software - Application, 3815
FRON, Financial Services, Shell Companies, 3816
FRPH, Real Estate, Real Estate Services, 3818
FRPT, Consumer Defensive, Packaged Foods, 3819
FRRVY, Industrials, Infrastructure Operations, 3820
FRSB, Financial Services, Banks - Regional, 3821
FRSG, Financial Services, Shell Companies, 3822
FRST, Financial Services, Banks - Regional, 3823
FRSX, Consumer Cyclical, Auto Parts, 3824
FRT, Real Estate, REIT - Retail, 3825
FRTA, Industrials, Building Products & Equipment, 3826
FRW, Financial Services, Shell Companies, 3828
FRX, Financial Services, Shell Companies, 3829
FRXB, Financial Services, Shell Companies, 3830
FSBC, Financial Services, Banks - Regional, 3831
FSBW, Financial Services, Banks - Regional, 3832
FSCR, Industrials, Tools & Accessories, 3833
FSEA, Financial Services, Banks - Regional, 3834
FSFG, Financial Services, Banks - Regional, 3837
FSI, Basic Materials, Specialty Chemicals, 3840
FSII, Financial Services, Shell Companies, 3841
FSK, Financial Services, Asset Management, 3843
FSKR, Financial Services, Asset Management, 3844
FSLR, Technology, Solar, 3846
FSLY, Technology, Software - Application, 3847
FSM, Basic Materials, Silver, 3848
FSNB, Financial Services, Shell Companies, 3851
FSNUY, Healthcare, Medical Care Facilities, 3853
FSP, Real Estate, REIT - Office, 3854
FSR, Consumer Cyclical, Auto Manufacturers, 3855
FSRL, Financial Services, Banks - Regional, 3856
FSRV, Financial Services, Shell Companies, 3857
FSRX, Financial Services, Shell Companies, 3858
FSS, Industrials, Pollution & Treatment Controls, 3859
FSSI, Financial Services, Shell Companies, 3860
FST, Financial Services, Shell Companies, 3861
FSTR, Industrials, Railroads, 3863
FSTX, Healthcare, Biotechnology, 3864
FSUGY, Basic Materials, Other Industrial Metals & Mining, 3865
FSV.L, Real Estate, Real Estate Services, 3866
